country,country_code,epi_score,epi_band,departures,outbound_expenditure,business_trips,personal_trips,business_personal_ratio,total_inbound_trips,expenditure_per_departure
Sudan,SDN,432.0,Very low,195000.0,,217000.0,619000.0,0.35056543,836000.0,
Georgia,GEO,543.0,Moderate,3780000.0,,831500.0,6894300.0,0.12060688,7725800.0,
Oman,OMN,421.0,Very low,1311000.0,,78300.0,573400.0,0.13655388,651700.0,
Panama,PAN,488.0,Low,401000.0,,39800.0,625600.0,0.06361893,665400.0,
Vietnam,VNM,498.0,Low,,,1322000.0,6552000.0,0.20177045,7874000.0,
Ivory Coast,CIV,399.0,Very low,,,246700.0,329100.0,0.7496202,575800.0,
South Korea,KOR,523.0,Moderate,,16683000000.0,40000.0,927000.0,0.043149944,967000.0,
South Africa,ZAF,594.0,High,,991000000.0,194100.0,2061600.1,0.09415017,2255700.1,
Israel,ISR,522.0,Moderate,3022000.0,3232000000.0,450600.0,4101000.0,0.10987564,4551600.0,1069.490403706155
Portugal,PRT,605.0,Very high,1012000.0,4208999700.0,3555000.0,19033000.0,0.18678086,22588000.0,4159.090612648221
Tunisia,TUN,496.0,Low,1748000.0,,,,,,
Lithuania,LTU,569.0,High,830200.0,575000000.0,212800.0,734800.0,0.2896026,947600.0,692.6041917610214
Iran,IRN,499.0,Low,2402000.0,,16100.0,4926000.0,0.0032683718,4942100.0,
Cyprus,CYP,558.0,High,,882000060.0,74000.0,557500.0,0.13273543,631500.0,
Malaysia,MYS,566.0,High,,,3131000.0,18921000.0,0.16547751,22052000.0,
Chile,CHL,525.0,Moderate,513900.03,301000000.0,95100.0,1024000.0,0.09287109,1119100.0,585.7170313844892
Russia,RUS,532.0,Moderate,,11407000000.0,7517100.0,26212100.0,0.28677976,33729200.0,
Colombia,COL,485.0,Low,3004000.0,2626000000.0,89100.0,1160000.0,0.076810345,1249100.0,874.167776298269
Romania,ROU,593.0,High,,5210000000.0,182000.0,4649000.0,0.039148204,4831000.0,
Argentina,ARG,562.0,High,833000.0,1366000000.0,21200.0,153700.0,0.13793103,174900.0,1639.8559423769507
Denmark,DNK,603.0,Very high,3182000.0,7468000000.0,483000.0,17922000.0,0.026950117,18405000.0,2346.9516027655563
Spain,ESP,538.0,Moderate,7013000.0,12225000000.0,2270300.0,28910500.0,0.07852856,31180800.0,1743.1912163125623
Kenya,KEN,581.0,High,,,248900.0,621700.0,0.40035388,870600.0,
Sri Lanka,LKA,486.0,Low,309000.0,,5000.0,189000.0,0.026455026,194000.0,
Estonia,EST,578.0,High,575000.0,680000000.0,760000.0,2470000.0,0.30769232,3230000.0,1182.608695652174
Lebanon,LBN,492.0,Low,,,,,,,
Angola,AGO,409.0,Very low,3000.0,,6100.0,57600.0,0.105902776,63700.0,
Sweden,SWE,608.0,Very high,5767000.0,8357000000.0,3191000.0,16754000.0,0.19046198,19945000.0,1449.1069880353737
Nigeria,NGA,557.0,High,,,1594100.0,3671300.0,0.43420586,5265400.0,
Honduras,HND,545.0,Moderate,501000.0,,38700.0,420500.0,0.0920333,459200.0,
El Salvador,SLV,513.0,Moderate,801000.0,,47500.0,1171400.0,0.04054977,1218900.0,
Ecuador,ECU,465.0,Low,868000.0,,216000.0,453400.0,0.47640052,669400.0,
Greece,GRC,602.0,Very high,2026000.0,1306000000.0,964000.0,9748000.0,0.09889208,10712000.0,644.6199407699901
Syria,SYR,473.0,Low,6259000.0,,442000.0,9015000.0,0.049029395,9457000.0,
Singapore,SGP,609.0,Very high,833000.0,,2460500.0,16655500.0,0.14772898,19116000.0,
India,IND,490.0,Low,8397000.0,14280000000.0,189600.0,1337500.0,0.14175701,1527100.0,1700.6073597713469
Kazakhstan,KAZ,427.0,Very low,10230000.0,,719800.0,610400.0,1.1792268,1330200.0,
Hong Kong,HKG,549.0,Moderate,,,3033100.0,20719300.0,0.14639008,23752400.0,
Myanmar,MMR,449.0,Very low,,,12500.0,118400.0,0.105574325,130900.0,
Cambodia,KHM,408.0,Very low,30500.0,,91100.0,105300.0,0.8651472,196400.0,
Belgium,BEL,592.0,High,8593000.0,14624001000.0,1035699.94,2207400.0,0.4691945,3243099.94,1701.8504596764808
Indonesia,IDN,468.0,Low,503000.0,470999970.0,716500.0,841000.0,0.851962,1557500.0,936.3816500994036
China,CHN,455.0,Low,20334000.0,,6284700.0,42828800.0,0.14674005,49113500.0,
Germany,DEU,598.0,High,99533000.0,47815004000.0,,,,,480.3934775401123
Moldova,MDA,536.0,Moderate,216600.0,,,,,,
Algeria,DZA,471.0,Low,344000.0,,45400.0,21600.0,2.101852,67000.0,
Bulgaria,BGR,586.0,High,4094000.0,1287000000.0,866400.0,6322000.0,0.13704523,7188400.0,314.36248168050804
Uzbekistan,UZB,439.0,Very low,,,128399.99,6620100.0,0.019395476,6748499.99,
Japan,JPN,454.0,Low,,2830000000.0,18300.0,227500.0,0.08043956,245800.0,
Serbia,SRB,568.0,High,,,,,,,
Tanzania,TZA,487.0,Low,121000.0,,92700.0,934200.0,0.09922928,1026900.0,
Kyrgyzstan,KGZ,457.0,Low,559000.0,,28000.0,70000.0,0.4,98000.0,
Switzerland,CHE,550.0,High,6296000.0,11662000000.0,,,,,1852.287166454892
Czechia,CZE,567.0,High,1161000.0,3231000000.0,,,,,2782.9457364341083
Philippines,PHL,570.0,High,5703000.0,,13000.0,151000.0,0.08609272,164000.0,
Egypt,EGY,465.0,Low,4531000.0,,116000.0,12759600.0,0.009091194,12875600.0,
Benin,BEN,413.0,Very low,,,153600.0,171300.0,0.8966725,324900.0,
